number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_val_mae,user_attrs_val_r2,state
0,6.62979097366333,2026-06-04 19:01:19.462925,2026-06-04 19:01:35.458995,0 days 00:00:15.996070,0.8125469573987565,0.5537404205883265,0.8513361437449145,4.176521826183241,lossguide,0.0010355013196794885,1,8,1,225,2.635090920994216e-08,2.7261571021144227e-08,0.9300149384186771,6.62979097366333,0.20566565990448,COMPLETE
1,3.1665180683135987,2026-06-04 19:01:35.462102,2026-06-04 19:02:19.467995,0 days 00:00:44.005893,0.604933280130034,0.8413090057527759,0.9592070087603219,1.6085463408586331,lossguide,0.25947613889762006,8,9,2,296,0.07312908259636056,1.6603117740506608e-06,0.8126869496677798,3.1665180683135987,0.8220184564590454,COMPLETE
2,3.431512784957886,2026-06-04 19:02:19.470084,2026-06-04 19:02:56.753382,0 days 00:00:37.283298,0.7996976783172531,0.8519412732074338,0.8081952443818393,4.8947063696132105,lossguide,0.004257890400023857,0,6,9,930,2.2655995726063743e-07,3.3607207926656035e-06,0.8954852717049453,3.431512784957886,0.7878428936004639,COMPLETE
3,3.1876838207244873,2026-06-04 19:02:56.755383,2026-06-04 19:03:32.822622,0 days 00:00:36.067239,0.7863795054214053,0.983619970833305,0.8545787045634679,2.6803537642138826,lossguide,0.10466999959980475,7,9,3,280,0.4506763662898604,2.9433369054450074e-07,0.5787148599958061,3.1876838207244873,0.8203549861907959,COMPLETE
4,7.074928092956543,2026-06-04 19:03:32.824659,2026-06-04 19:04:08.187575,0 days 00:00:35.362916,0.8733089936181075,0.5123886682862002,0.6469998802626473,0.7194257756476014,depthwise,0.00019313047946755115,1,8,7,716,5.828717344646481,1.1442268885437126e-07,0.9189595318069912,7.074928092956543,0.1048620343208313,COMPLETE
5,5.268638324737549,2026-06-04 19:04:08.188577,2026-06-04 19:04:44.904575,0 days 00:00:36.715998,0.965962569028296,0.9051885234045913,0.9041708779840747,2.8502089239545416,depthwise,0.0005523349245543645,5,10,7,985,5.624769227340503e-06,0.0001826930920051132,0.9513246482905005,5.268638324737549,0.49594358205795286,COMPLETE
6,3.707706165313721,2026-06-04 19:04:44.906536,2026-06-04 19:05:31.574367,0 days 00:00:46.667831,0.9474792134607883,0.6888221192083599,0.7757867825800245,4.787205689975412,depthwise,0.08950306320364818,9,3,5,304,0.00206597493942434,9.105521626094875e-05,0.9154719255552886,3.707706165313721,0.7529781103134155,COMPLETE
7,6.279402828216552,2026-06-04 19:05:31.577367,2026-06-04 19:06:12.923580,0 days 00:00:41.346213,0.918643671108504,0.8647694986420095,0.9856005056000181,4.035314916702818,lossguide,0.0006797536175125128,10,6,4,447,4.738709143999615e-06,0.00923773036714567,0.729488239152202,6.279402828216552,0.2874931454658508,COMPLETE
8,6.705714225769043,2026-06-04 19:06:12.925475,2026-06-04 19:06:46.243160,0 days 00:00:33.317685,0.7407856285515229,0.9284605070536028,0.6785460575834568,1.3723628726339236,depthwise,0.00031257182451429797,0,11,3,651,3.7453310711986234e-08,1.488363846067508e-07,0.9499492506264708,6.705714225769043,0.19858568906784058,COMPLETE
9,7.048443412780761,2026-06-04 19:06:46.245162,2026-06-04 19:07:28.969697,0 days 00:00:42.724535,0.6802356003925543,0.5610067113710526,0.9054722104628576,2.8061174515402905,lossguide,0.00019157802429761823,5,12,2,535,0.021314957568242213,2.1988848862648099e-07,0.8145620202952427,7.048443412780761,0.1134529948234558,COMPLETE
